infraction_description,set_fine_amount,location2,province
PARK ON PRIVATE PROPERTY,30,17 MICHAEL POWER PL,ON
PARK ON PRIVATE PROPERTY,30,17 PARKWAY FOREST,ON
PARK ON PRIVATE PROPERTY,30,17 RUBY LANG LANE,ON
PARK ON PRIVATE PROPERTY,30,17 RUSSELL ST,ON
PARK ON PRIVATE PROPERTY,30,17 SHOREHAM CRT,ON
PARK ON PRIVATE PROPERTY,30,17 SHOREHAM CRT.,ON
PARK ON PRIVATE PROPERTY,30,17 ST ANDREW ST,NJ
PARK ON PRIVATE PROPERTY,30,17 ST ANDREW ST,ON
PARK ON PRIVATE PROPERTY,30,17 ST ANDREW STREET,ON
PARK ON PRIVATE PROPERTY,30,17 WAX MYRTLE WAY,ON
PARK ON PRIVATE PROPERTY,30,17 WAX MYRTLEWAY,ON
PARK ON PRIVATE PROPERTY,30,17 WILLIAM KITCHEN RD,ON
PARK ON PRIVATE PROPERTY,30,17 WILMINGTON AVE,ON
PARK ON PRIVATE PROPERTY,30,17 ZORRA ST,NF
PARK ON PRIVATE PROPERTY,30,17 ZORRA ST,NS
PARK ON PRIVATE PROPERTY,30,17 ZORRA ST,ON
PARK ON PRIVATE PROPERTY,30,17 ZORRA ST,QC
PARK ON PRIVATE PROPERTY,30,170 BAYVIEW AVE,ON
PARK ON PRIVATE PROPERTY,30,170 CHAKFARM DR,ON
PARK ON PRIVATE PROPERTY,30,170 CHALFKARM DR,ON
PARK ON PRIVATE PROPERTY,30,170 CHALKARM DR,ON
PARK ON PRIVATE PROPERTY,30,170 CHALKFARM DR,AZ
PARK ON PRIVATE PROPERTY,30,170 CHALKFARM DR,ON
PARK ON PRIVATE PROPERTY,30,170 ELIZABETH ST,ON
PARK ON PRIVATE PROPERTY,30,170 ELIZABETH ST,QC
PARK ON PRIVATE PROPERTY,30,170 FORT YORK BLVD,ON
PARK ON PRIVATE PROPERTY,30,170 GALLOWAY RD,ON
PARK ON PRIVATE PROPERTY,30,170 GALLOWY RD,ON
PARK ON PRIVATE PROPERTY,30,170 ISLINGTON AVE,ON
PARK ON PRIVATE PROPERTY,30,170 RORY RD,ON
PARK ON PRIVATE PROPERTY,30,170 SUMACH ST,ON
PARK ON PRIVATE PROPERTY,30,1700 EGLINTON AVE E,ON
PARK ON PRIVATE PROPERTY,30,1700 FINCH AVE E,ON
PARK ON PRIVATE PROPERTY,30,1700 FINCH AVE EAST ,ON
PARK ON PRIVATE PROPERTY,30,1700 FINCH AVE EAST,ON
PARK ON PRIVATE PROPERTY,30,1700 FINCH AVENUE EAST,ON
PARK ON PRIVATE PROPERTY,30,1700 FINCH AVENUE EST,ON
PARK ON PRIVATE PROPERTY,30,1700 FINCH AVENUE,ON
PARK ON PRIVATE PROPERTY,30,1700 KEELE ST,ON
PARK ON PRIVATE PROPERTY,30,1700 LAWRENCE AVE W,ON
PARK ON PRIVATE PROPERTY,30,1700 WILSON AVE,ON
PARK ON PRIVATE PROPERTY,30,1700 YORK MILLS RD,ON
PARK ON PRIVATE PROPERTY,30,1701 BLOOR ST,ON
PARK ON PRIVATE PROPERTY,30,1701 MCCOWAN RD,ON
PARK ON PRIVATE PROPERTY,30,171 BRICKWORKS LN,ON
PARK ON PRIVATE PROPERTY,30,171 EAST LIBERTY ST,AB
PARK ON PRIVATE PROPERTY,30,171 EAST LIBERTY ST,MB
PARK ON PRIVATE PROPERTY,30,171 EAST LIBERTY ST,NS
PARK ON PRIVATE PROPERTY,30,171 EAST LIBERTY ST,ON
PARK ON PRIVATE PROPERTY,30,171 EAST LIBERTY ST,QC
PARK ON PRIVATE PROPERTY,30,171 FRONT ST E,ON
PARK ON PRIVATE PROPERTY,30,171 FRONT ST E,TX
PARK ON PRIVATE PROPERTY,30,171 WILLAM DUNCAN RD,ON
PARK ON PRIVATE PROPERTY,30,171 WILLIAM DUNCAN RD,ON
PARK ON PRIVATE PROPERTY,30,1710 ELLESMERE RD,ON
PARK ON PRIVATE PROPERTY,30,1717 AVENUE RD,ON
PARK ON PRIVATE PROPERTY,30,1717 DUFFERIN ST,ON
PARK ON PRIVATE PROPERTY,30,1718 QUEEN ST E,ON
PARK ON PRIVATE PROPERTY,30,172 ST HELEN'S AVE,ON
PARK ON PRIVATE PROPERTY,30,1720 KEELE ST,ON
PARK ON PRIVATE PROPERTY,30,1721 JANE ST,ON
PARK ON PRIVATE PROPERTY,30,1725 LAWRENCE AVE E,ON
PARK ON PRIVATE PROPERTY,30,1728 LAWRENCE AVE W,ON
PARK ON PRIVATE PROPERTY,30,1730 BLOOR ST W,ON
PARK ON PRIVATE PROPERTY,30,1731 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,1735 KIPLING AVE,AB
PARK ON PRIVATE PROPERTY,30,1735 KIPLING AVE,NS
PARK ON PRIVATE PROPERTY,30,1735 KIPLING AVE,ON
PARK ON PRIVATE PROPERTY,30,1735 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,1739 VICTORIA PARK AV,ON
PARK ON PRIVATE PROPERTY,30,1739 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,1739 VICTORIA PARK,ON
PARK ON PRIVATE PROPERTY,30,174 EGLINTON AVE E,QC
PARK ON PRIVATE PROPERTY,30,174 JOHN GARLAND BLVD,ON
PARK ON PRIVATE PROPERTY,30,1749 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,175 BAMBURGH CRCL,ON
PARK ON PRIVATE PROPERTY,30,175 KING ST W,ON
PARK ON PRIVATE PROPERTY,30,175 REXDALE BLVD,ON
PARK ON PRIVATE PROPERTY,30,175 TORYORK DR,CA
PARK ON PRIVATE PROPERTY,30,175 TORYORK DR,ON
PARK ON PRIVATE PROPERTY,30,175 TRUDELLE ST,ON
PARK ON PRIVATE PROPERTY,30,175 TRUDELLE ST,PQ
PARK ON PRIVATE PROPERTY,30,175 WYNFORD DR,ON
PARK ON PRIVATE PROPERTY,30,1750 FINCH  AVE E,ON
PARK ON PRIVATE PROPERTY,30,1750 FINCH AV E,ON
PARK ON PRIVATE PROPERTY,30,1750 FINCH AV EAST,ON
PARK ON PRIVATE PROPERTY,30,1750 FINCH AV EST,ON
PARK ON PRIVATE PROPERTY,30,1750 FINCH AV,ON
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E ,ON
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E,NS
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E,NV
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E,NY
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E,ON
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E,PQ
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E,QC
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E,TX
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE EAST,ON
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE EST,ON
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE,ON
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVEE,ON
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVENUE E ,ON
PARK ON PRIVATE PROPERTY,30,1750 FINCHA VE E,ON
PARK ON PRIVATE PROPERTY,30,1750 FNCH AVE E,ON
PARK ON PRIVATE PROPERTY,30,1750 LAWRENCE AV W,ON
PARK ON PRIVATE PROPERTY,30,1750 LAWRENCE AVE W,ON
PARK ON PRIVATE PROPERTY,30,1751 FINCH AVE E,ON
PARK ON PRIVATE PROPERTY,30,1751 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,1752 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,1754 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,1756 DUNDAS ST W,ON
PARK ON PRIVATE PROPERTY,30,1756 FINCH AV EAST,ON
PARK ON PRIVATE PROPERTY,30,1756 FINCH AVE EAST,ON
PARK ON PRIVATE PROPERTY,30,1756 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,1759 VICTORIA PARK AVE,NS
PARK ON PRIVATE PROPERTY,30,1759 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,1760 FINCH AVE E,ON
PARK ON PRIVATE PROPERTY,30,1760 WILSON AVE,MB
PARK ON PRIVATE PROPERTY,30,1760 WILSON AVE,ON
PARK ON PRIVATE PROPERTY,30,177 FORT YORK BLVD,ON
PARK ON PRIVATE PROPERTY,30,177 LINUS RD,ON
PARK ON PRIVATE PROPERTY,30,177 LINUS RD,QC
PARK ON PRIVATE PROPERTY,30,177 MUTUAL ST,ON
PARK ON PRIVATE PROPERTY,30,1770 ALBION RD,ON
PARK ON PRIVATE PROPERTY,30,1770 WILSON AVE,ON
PARK ON PRIVATE PROPERTY,30,1775 EGLINTON AVE W,ON
PARK ON PRIVATE PROPERTY,30,1775 FINCH AVE E,ON
PARK ON PRIVATE PROPERTY,30,1778 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,1779 JANE ST,ON
PARK ON PRIVATE PROPERTY,30,178 CHALKFARM DR,ON
PARK ON PRIVATE PROPERTY,30,178 QUEENS QUAY E,ON
PARK ON PRIVATE PROPERTY,30,1780 WILSON AVE,ON
PARK ON PRIVATE PROPERTY,30,1786 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,179 GERRARD ST E,ON
PARK ON PRIVATE PROPERTY,30,1790 EGLINTON AVE E,ON
PARK ON PRIVATE PROPERTY,30,1790 EGLINTON AVE E,QC
PARK ON PRIVATE PROPERTY,30,1791 AVENUE RD,ON
PARK ON PRIVATE PROPERTY,30,1799 ST CLAIR AVE W,ON
PARK ON PRIVATE PROPERTY,30,18 APPLEWOOD LANE,NS
PARK ON PRIVATE PROPERTY,30,18 APPLEWOOD LANE,ON
PARK ON PRIVATE PROPERTY,30,18 APPLEWOOD LANE,PQ
PARK ON PRIVATE PROPERTY,30,18 BROWNLOW AVE,ON
PARK ON PRIVATE PROPERTY,30,18 CEDARCROFT BLVD,ON
PARK ON PRIVATE PROPERTY,30,18 DRIFTWOOD AVE,ON
PARK ON PRIVATE PROPERTY,30,18 DRIFTWOOD AVENUE,ON
PARK ON PRIVATE PROPERTY,30,18 EVERSON DR,ON
PARK ON PRIVATE PROPERTY,30,18 GRAYDON HALL DR,NC
PARK ON PRIVATE PROPERTY,30,18 GRAYDON HALL DR,ON
PARK ON PRIVATE PROPERTY,30,18 GREENFIELD AVE,ON
PARK ON PRIVATE PROPERTY,30,18 HARBORD ST,ON
PARK ON PRIVATE PROPERTY,30,18 HARBOUR ST,BC
PARK ON PRIVATE PROPERTY,30,18 HARBOUR ST,ON
PARK ON PRIVATE PROPERTY,30,18 HARBOUR ST,PQ
PARK ON PRIVATE PROPERTY,30,18 HILLCREST AVE,ON
PARK ON PRIVATE PROPERTY,30,18 HOLMES AVE,ON
PARK ON PRIVATE PROPERTY,30,18 JARVIS ST,ON
PARK ON PRIVATE PROPERTY,30,18 KENASTON GDNS,ON
PARK ON PRIVATE PROPERTY,30,18 LAVENDER RD,ON
PARK ON PRIVATE PROPERTY,30,18 LOLA RD,ON
PARK ON PRIVATE PROPERTY,30,18 LOWER JARVIS ST,ON
PARK ON PRIVATE PROPERTY,30,18 LOWER VILLAGE GT,ON
PARK ON PRIVATE PROPERTY,30,18 MERTON ST,ON
PARK ON PRIVATE PROPERTY,30,18 MOWAT AVE,ON
PARK ON PRIVATE PROPERTY,30,18 P GRAYDON HALL DR,ON
PARK ON PRIVATE PROPERTY,30,18 PANORAMA CRT,ON
PARK ON PRIVATE PROPERTY,30,18 PARKVIEW AVE,ON
PARK ON PRIVATE PROPERTY,30,18 PEMBERTON AVE,ON
PARK ON PRIVATE PROPERTY,30,18 SEELEY DR,ON
PARK ON PRIVATE PROPERTY,30,18 SILKWOOD CRES,ON
PARK ON PRIVATE PROPERTY,30,18 SOMERSET AVE,ON
PARK ON PRIVATE PROPERTY,30,18 SPRING GARDEN AVE,ON
PARK ON PRIVATE PROPERTY,30,18 STAFFORD ST,ON
PARK ON PRIVATE PROPERTY,30,18 STAFFORD ST,PQ
PARK ON PRIVATE PROPERTY,30,18 STAFFORD ST,SK
PARK ON PRIVATE PROPERTY,30,18 TOBERMORY DR,ON
PARK ON PRIVATE PROPERTY,30,18 VALLEY WOODS RD,ON
PARK ON PRIVATE PROPERTY,30,18 YONGE ST,ON
PARK ON PRIVATE PROPERTY,30,18 YORKVILLE AVE,ON
PARK ON PRIVATE PROPERTY,30,180 BEECROFT RD,ON
PARK ON PRIVATE PROPERTY,30,180 BEECROFT ROAD,ON
PARK ON PRIVATE PROPERTY,30,180 BLOOR ST W,ON
PARK ON PRIVATE PROPERTY,30,180 CHALFARM DR,ON
PARK ON PRIVATE PROPERTY,30,180 CHALFKARM DR,ON
PARK ON PRIVATE PROPERTY,30,180 CHALKFARM DR,AB
PARK ON PRIVATE PROPERTY,30,180 CHALKFARM DR,AZ
PARK ON PRIVATE PROPERTY,30,180 CHALKFARM DR,ON
PARK ON PRIVATE PROPERTY,30,180 CHALKFARM DR,PQ
PARK ON PRIVATE PROPERTY,30,180 CHALKFARM DR,QC
PARK ON PRIVATE PROPERTY,30,180 CHESTER AVE,PQ
PARK ON PRIVATE PROPERTY,30,180 CHESTER LE BLVD,ON
PARK ON PRIVATE PROPERTY,30,180 CHESTER LE BLVD,PQ
PARK ON PRIVATE PROPERTY,30,180 CHESTER LE,ON
PARK ON PRIVATE PROPERTY,30,180 DAN LECKIE WAY,ON
PARK ON PRIVATE PROPERTY,30,180 MURISON BLVD,ON
PARK ON PRIVATE PROPERTY,30,180 SACKVILLE ST,ON
PARK ON PRIVATE PROPERTY,30,180 YORKLAND BLVD,ON
PARK ON PRIVATE PROPERTY,30,1800 PHARMACY AVE,ON
PARK ON PRIVATE PROPERTY,30,1800 SHEPPARD AVE E,ON
PARK ON PRIVATE PROPERTY,30,1800 SHEPPARD AVE E,QC
PARK ON PRIVATE PROPERTY,30,1803 MARTIN GROVE R D,ON
PARK ON PRIVATE PROPERTY,30,1803 MARTIN GROVE RD,ON
PARK ON PRIVATE PROPERTY,30,1803 MARTIN GROVE ROAD,ON
PARK ON PRIVATE PROPERTY,30,1803 MARTINGROVE RD,ON
PARK ON PRIVATE PROPERTY,30,1804 AVENUE RD,ON
PARK ON PRIVATE PROPERTY,30,1805 MARTINGROVE RD,ON
PARK ON PRIVATE PROPERTY,30,1807 MARTINGROVE RD,ON
PARK ON PRIVATE PROPERTY,30,1809 MARTIN GROVE RD,ON
PARK ON PRIVATE PROPERTY,30,1809 MARTIN GROVE ROAD,ON
PARK ON PRIVATE PROPERTY,30,1809 MARTINGROVE RD,ON
PARK ON PRIVATE PROPERTY,30,1809 MARTINGROVE ROAD,ON
PARK ON PRIVATE PROPERTY,30,181 BRICKWORKS LN,ON
PARK ON PRIVATE PROPERTY,30,181 BROADVIEW AVE,ON
PARK ON PRIVATE PROPERTY,30,181 DONLANDS AVE,QC
PARK ON PRIVATE PROPERTY,30,181 VILLAGE GREEN SQ,ON
PARK ON PRIVATE PROPERTY,30,181 WYNFORD DR,NY
PARK ON PRIVATE PROPERTY,30,181 WYNFORD DR,ON
PARK ON PRIVATE PROPERTY,30,181 WYNFORD DR,QC
PARK ON PRIVATE PROPERTY,30,1811 MARTINGROVE RD,ON
PARK ON PRIVATE PROPERTY,30,1813 MARTIN GROVE RD,ON
PARK ON PRIVATE PROPERTY,30,1817 MARTIN GROVE RD,ON
PARK ON PRIVATE PROPERTY,30,1817 MARTIN GROVE ROAD,ON
PARK ON PRIVATE PROPERTY,30,1817 MARTINGROVE RD,ON
PARK ON PRIVATE PROPERTY,30,1817 MARTINGROVE ROAD,ON
PARK ON PRIVATE PROPERTY,30,1817 MARTNGROVE RD,ON
PARK ON PRIVATE PROPERTY,30,182 SENTINEL ROAD,ON
PARK ON PRIVATE PROPERTY,30,182 WILSON AVE,ON
PARK ON PRIVATE PROPERTY,30,1821 LAWRENCE AVE E,ON
PARK ON PRIVATE PROPERTY,30,1823 MARTIN GROVE RD,ON
PARK ON PRIVATE PROPERTY,30,1823 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,1825 FINCH AVE W,ON
PARK ON PRIVATE PROPERTY,30,1827 MARTIN GROVE RD,ON
PARK ON PRIVATE PROPERTY,30,183 BATHURST ST,ON
PARK ON PRIVATE PROPERTY,30,183 DOVERCOURT RD,ON
PARK ON PRIVATE PROPERTY,30,1834 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,1835 DANFORTH AVE,ON
PARK ON PRIVATE PROPERTY,30,184 RIVER ST,ON
PARK ON PRIVATE PROPERTY,30,184 RIVER STREET,ON
PARK ON PRIVATE PROPERTY,30,1840 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,1844 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,1846 DANFORTH AVE,ON
PARK ON PRIVATE PROPERTY,30,185 LEGION RD N,MB
PARK ON PRIVATE PROPERTY,30,185 LEGION RD N,ON
PARK ON PRIVATE PROPERTY,30,185 LEGION RD,ON
PARK ON PRIVATE PROPERTY,30,185 QUEENS QUAY E,ON
PARK ON PRIVATE PROPERTY,30,185 QUEENS QUAY EAST,ON
PARK ON PRIVATE PROPERTY,30,185 ROEHAMPTON AVE,ON
PARK ON PRIVATE PROPERTY,30,185 SHAUGHNESSY BLVD,ON
PARK ON PRIVATE PROPERTY,30,185 SHAUGHNESSY BLVD,QC
PARK ON PRIVATE PROPERTY,30,185 SHAUGHNESSY BLVD,VT
PARK ON PRIVATE PROPERTY,30,185 YORKLAND BLVD,ON
PARK ON PRIVATE PROPERTY,30,1850 VICTORIA PARK AVE,NS
PARK ON PRIVATE PROPERTY,30,1850 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,1850 VICTORIA PARK AVE,QC
PARK ON PRIVATE PROPERTY,30,1855 JANE ST,ON
PARK ON PRIVATE PROPERTY,30,186 KINGSVIEW BLVD,ON
PARK ON PRIVATE PROPERTY,30,186 SPADINA AVE,ON
PARK ON PRIVATE PROPERTY,30,1862 SHEPPARD AVE W,ON
PARK ON PRIVATE PROPERTY,30,1865 MILITARY TRL,ON
PARK ON PRIVATE PROPERTY,30,1865 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,1867 LAWRENCE AVE E,ON
PARK ON PRIVATE PROPERTY,30,1874 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,1875 LAWRENCE AVE E,ON
PARK ON PRIVATE PROPERTY,30,1875 MARTIN GROVE RD,AZ
PARK ON PRIVATE PROPERTY,30,1875 MARTIN GROVE RD,ON
PARK ON PRIVATE PROPERTY,30,1878 SHEPPARD AVE W,ON
PARK ON PRIVATE PROPERTY,30,188 BONIS AVE,ON
PARK ON PRIVATE PROPERTY,30,188 CUMBERLAND ST,ON
PARK ON PRIVATE PROPERTY,30,188 DORIS AVE,ON
PARK ON PRIVATE PROPERTY,30,188 EGLINTON AV E,ON
PARK ON PRIVATE PROPERTY,30,188 EGLINTON AVE E,ON
PARK ON PRIVATE PROPERTY,30,188 LOWTHER AVE,ON
PARK ON PRIVATE PROPERTY,30,188 SPADINA AVE,ON
PARK ON PRIVATE PROPERTY,30,188 UNIVERSITY AVE,BC
PARK ON PRIVATE PROPERTY,30,1880 SHEPPARD AVE W,ON
PARK ON PRIVATE PROPERTY,30,1881 GERRARD ST E,ON
PARK ON PRIVATE PROPERTY,30,1881 MCNICOLL AVE,ON
PARK ON PRIVATE PROPERTY,30,1881 STEELES AVE W,ON
PARK ON PRIVATE PROPERTY,30,1882 SHEPPARD AVE W,ON
PARK ON PRIVATE PROPERTY,30,1882 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,1883 MCNICOLL AVE,ON
PARK ON PRIVATE PROPERTY,30,1884 SHEPPARD AVE W,ON
PARK ON PRIVATE PROPERTY,30,1888 BAYVIEW AVE,ON
PARK ON PRIVATE PROPERTY,30,189 GEARY AVE,ON
PARK ON PRIVATE PROPERTY,30,189 HIGHBOURNE RD,ON
PARK ON PRIVATE PROPERTY,30,189 SPADINA AVE,ON
PARK ON PRIVATE PROPERTY,30,189 WILLIAM DUNCAN RD,ON
PARK ON PRIVATE PROPERTY,30,1890 DUFFERIN ST,ON
PARK ON PRIVATE PROPERTY,30,1890 JANE ST,ON
PARK ON PRIVATE PROPERTY,30,1890 SHEPPARD AVE W,ON
PARK ON PRIVATE PROPERTY,30,1890 SHEPPARD AVE WEST,ON
PARK ON PRIVATE PROPERTY,30,1890 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,1896 JANE ST,ON
PARK ON PRIVATE PROPERTY,30,19  COLONEL SAMUEL DR,ON
PARK ON PRIVATE PROPERTY,30,19 APPLEWOOD LANE,ON
PARK ON PRIVATE PROPERTY,30,19 AUBURN AVE,ON
PARK ON PRIVATE PROPERTY,30,19 AVONDALE AVE,ON
PARK ON PRIVATE PROPERTY,30,19 BARBERRY PL,ON
PARK ON PRIVATE PROPERTY,30,19 BARBERRY PLACE,ON
PARK ON PRIVATE PROPERTY,30,19 BASEBALL PL,ON
PARK ON PRIVATE PROPERTY,30,19 COLONEL SAMUE SMITH PARK DR,ON
PARK ON PRIVATE PROPERTY,30,19 COLONEL SAMUEL SMITH PARK DR,ON
PARK ON PRIVATE PROPERTY,30,19 COLONEL SAMUEL SMITH PARK DRIVE,ON
PARK ON PRIVATE PROPERTY,30,19 DORVAL RD,ON
PARK ON PRIVATE PROPERTY,30,19 EVA ROAD,ON
PARK ON PRIVATE PROPERTY,30,19 EVA ROAD,PQ
PARK ON PRIVATE PROPERTY,30,19 GRAND TRUNK CRES,ON
PARK ON PRIVATE PROPERTY,30,19 LAVENDER RD,ON
PARK ON PRIVATE PROPERTY,30,19 PIN LANE,ON
PARK ON PRIVATE PROPERTY,30,19 ROSEBANK DR,ON
PARK ON PRIVATE PROPERTY,30,19 SINGER CRT,ON
PARK ON PRIVATE PROPERTY,30,19 SINGER CRT,QC
PARK ON PRIVATE PROPERTY,30,19 VIEWMOUNT AVE,ON
PARK ON PRIVATE PROPERTY,30,190 BOROUGH DR,ON
PARK ON PRIVATE PROPERTY,30,190 BRICKWORKS LN,ON
PARK ON PRIVATE PROPERTY,30,190 CARRIER DR,ON
PARK ON PRIVATE PROPERTY,30,190 CHALFKARM DR,ON
PARK ON PRIVATE PROPERTY,30,190 CHALFKFARM DR,ON
PARK ON PRIVATE PROPERTY,30,190 CHALKFARM DR,NY
PARK ON PRIVATE PROPERTY,30,190 CHALKFARM DR,ON
PARK ON PRIVATE PROPERTY,30,190 CHALKFARM DR,PQ
PARK ON PRIVATE PROPERTY,30,190 CHALKFARM DR,QC
PARK ON PRIVATE PROPERTY,30,190 ELIZABETH ST,ON
PARK ON PRIVATE PROPERTY,30,190 JOHN ST,ON
PARK ON PRIVATE PROPERTY,30,190 LIBERTY ST,ON
PARK ON PRIVATE PROPERTY,30,190 MANITOBA ST,NS
PARK ON PRIVATE PROPERTY,30,190 MANITOBA ST,ON
PARK ON PRIVATE PROPERTY,30,190 WOOLNER AVE,OH
PARK ON PRIVATE PROPERTY,30,190 WOOLNER AVE,ON
PARK ON PRIVATE PROPERTY,30,190 WOOLNER AVENUE,ON
PARK ON PRIVATE PROPERTY,30,1900 EGLINTO AVE,ON
PARK ON PRIVATE PROPERTY,30,1900 EGLINTOIN AVE (E),ON
PARK ON PRIVATE PROPERTY,30,1900 EGLINTON AV E,ON
PARK ON PRIVATE PROPERTY,30,1900 EGLINTON AVE (E),ON
PARK ON PRIVATE PROPERTY,30,1900 EGLINTON AVE E,ON
PARK ON PRIVATE PROPERTY,30,1900 EGLINTON AVE,ON
PARK ON PRIVATE PROPERTY,30,1900 LAKE SHORE BLVD W,ON
PARK ON PRIVATE PROPERTY,30,1900 SHEPPARD AVE E,ON
PARK ON PRIVATE PROPERTY,30,1901 SHEPPARD AVE W,ON
PARK ON PRIVATE PROPERTY,30,1901 SHEPPARD AVE WEST,ON
PARK ON PRIVATE PROPERTY,30,1901 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,1901 YONGE ST,ON
PARK ON PRIVATE PROPERTY,30,1906 JANE ST,ON
PARK ON PRIVATE PROPERTY,30,191 PARKWAY FOREST DR,ON
PARK ON PRIVATE PROPERTY,30,191 SHERBOURNE ST,ON
PARK ON PRIVATE PROPERTY,30,191 ST GEORGE ST,ON
PARK ON PRIVATE PROPERTY,30,1910 LAKE SHORE BLVD W,ON
PARK ON PRIVATE PROPERTY,30,1911 FINCH AVE W,ON
PARK ON PRIVATE PROPERTY,30,1915 MARTIN GROVE RD,ON
PARK ON PRIVATE PROPERTY,30,1919 LAWRENCE AVE E,ON
PARK ON PRIVATE PROPERTY,30,1920 YONGE ST,ON
PARK ON PRIVATE PROPERTY,30,1925 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,1926 ST CLAIR AVE W,ON
PARK ON PRIVATE PROPERTY,30,1929 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,1930 QUEEN ST E,ON
PARK ON PRIVATE PROPERTY,30,194 CARLTON ST,ON
PARK ON PRIVATE PROPERTY,30,194 REXLEIGH DR,ON
PARK ON PRIVATE PROPERTY,30,194 REXLEIGH DRIVE,ON
PARK ON PRIVATE PROPERTY,30,194 REXLEIGH DRIVE,PQ
PARK ON PRIVATE PROPERTY,30,1940 EGLINTON AVE E,ON
PARK ON PRIVATE PROPERTY,30,1940 GERRARD ST E,ON
PARK ON PRIVATE PROPERTY,30,1941 YONGE ST,ON
PARK ON PRIVATE PROPERTY,30,1943 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,1947 AVENUE RD,ON
PARK ON PRIVATE PROPERTY,30,1947 LAWRENCE AVE W,ON
PARK ON PRIVATE PROPERTY,30,195 ALEXMUIR BLVD,ON
PARK ON PRIVATE PROPERTY,30,195 BARRINGTON AVE,ON
PARK ON PRIVATE PROPERTY,30,195 BONIS AVE,ON
PARK ON PRIVATE PROPERTY,30,195 BONIS AVE,PE
PARK ON PRIVATE PROPERTY,30,195 EXBURY RD,ON
PARK ON PRIVATE PROPERTY,30,195 WYNFORD DR,ON
PARK ON PRIVATE PROPERTY,30,1950 KENNEDY RD,ON
PARK ON PRIVATE PROPERTY,30,196 CARLTON ST,ON
PARK ON PRIVATE PROPERTY,30,1960 KEELE ST,ON
PARK ON PRIVATE PROPERTY,30,197 YONGE ST,AB
PARK ON PRIVATE PROPERTY,30,197 YONGE ST,BC
PARK ON PRIVATE PROPERTY,30,197 YONGE ST,ON
PARK ON PRIVATE PROPERTY,30,1970 EGLINTON AVE E,ON
PARK ON PRIVATE PROPERTY,30,1970 ELLESMARE RD,ON
PARK ON PRIVATE PROPERTY,30,1970 ELLESMERE RD,ON
PARK ON PRIVATE PROPERTY,30,1974 AVENUE RD,ON
PARK ON PRIVATE PROPERTY,30,1975 KENNEDY RD,ON
PARK ON PRIVATE PROPERTY,30,1977 KEELE ST,ON
PARK ON PRIVATE PROPERTY,30,1978 YONGE STREET,ON
PARK ON PRIVATE PROPERTY,30,198 MANITOBA ST,ON
PARK ON PRIVATE PROPERTY,30,1980 ST CLAIR AVE W,ON
PARK ON PRIVATE PROPERTY,30,1980 YONGE ST,ON
PARK ON PRIVATE PROPERTY,30,1983 KIPLING AVE,ON
PARK ON PRIVATE PROPERTY,30,1983 KIPLING AVENUE,ON
PARK ON PRIVATE PROPERTY,30,1985 DANFORTH AVE,ON
PARK ON PRIVATE PROPERTY,30,199 HUMBER COLLEGE BLVD,ON
PARK ON PRIVATE PROPERTY,30,199 OSSINGTON AVE,ON
